Center Name,Legal Name,Building,Street,Borough,ZipCode,address,status,street,borough,zip,cb,cwz,latitude,longitude,bbl,Phone,Permit Number,Permit Expiration,Status,Age Range,Maximum Capacity,Day Care ID,Program Type,Facility Type,Child Care Type,Building Identification Number,URL,Date Permitted,Actual,Violation Rate Percent,Average Violation Rate Percent,Total Educational Workers,Average Total Educational Workers,Public Health Hazard Violation Rate,Average Public Health Hazard Violation Rate,Critical Violation Rate,Average Critical Violation Rate,index_age,indextype,index
GO Project INC,GO Project INC,657,Greenwich ST,MANHATTAN,10014,"657 Greenwich ST,MANHATTAN 10014",OK,657 GREENWICH STREET,MANHATTAN,10014,102,MN1B,40.73225,-74.007675,1006057501,212-924-5960,105709,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC41221,ALL AGE CAMP,Camp,Camp,1010508,www.goprojectnyc.org,6/30/2022,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GO Project INC,GO Project INC,86,4TH AVE,MANHATTAN,10003,"86 4TH AVE,MANHATTAN 10003",OK,86 4 AVENUE,MANHATTAN,10003,102,MN1B,40.731674,-73.990305,1005570001,212-475-5609,105703,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC41222,ALL AGE CAMP,Camp,Camp,1008997,www.goprojectnyc.org,6/28/2022,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GODDARD RIVERSIDE CC@LINCOLN SQUARE NEIGHBORHOOD CENTER,Goddard Riverside Community Center,250,WEST   65 STREET,MANHATTAN,10023,"250 WEST   65 STREET,MANHATTAN 10023",OK,250 WEST   65 STREET,MANHATTAN,10023,107,MN5,40.77501,-73.98689,1011560020,212-874-0860,104451,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,100,DC37317,ALL AGE CAMP,Camp,Camp,1030340,goddard.org,6/23/2018,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GODDARD RIVERSIDE COMMUNITY CENTER,GODDARD RIVERSIDE COMMUNITY CENTER,114,WEST 91 STREET,MANHATTAN,10024,"114 WEST 91 STREET,MANHATTAN 10024",OK,114 WEST   91 STREET,MANHATTAN,10024,107,MN5,40.789999,-73.970644,1012210007,212-873-6865,2061,2/11/2022,Expired-In Renewal,2 YEARS - 5 YEARS,93,DC2155,PRESCHOOL,GDC,Child Care - Pre School,1077128,www.goddard.org,5/12/2003,N,25,21.905,7,11.9769,25,6.1285,0,18.9541,5,1,17
GODDARD RIVERSIDE COMMUNITY CENTER,GODDARD RIVERSIDE COMMUNITY CENTER,243,WEST   64 STREET,MANHATTAN,10023,"243 WEST   64 STREET,MANHATTAN 10023",OK,243 WEST   64 STREET,MANHATTAN,10023,107,MN5,40.774214,-73.986937,1011560020,212-712-9306,104379,4/13/2024,Permitted,2 YEARS - 5 YEARS,57,DC36473,PRESCHOOL,GDC,Child Care - Pre School,1030340,www.goddard.org,4/13/2018,Y,0,21.905,8,11.9769,0,6.1285,0,18.9541,5,1,17
GOLD MATERIAL BK,"SUNNY WORLD DAYCARE, CORP",105,Kings Highway,BROOKLYN,11214,"105 Kings Highway,BROOKLYN 11214",OK,105 KINGS HIGHWAY,BROOKLYN,11214,311,BK4,40.606196,-73.987791,3062537502,718-253-2552,105160,6/2/2024,Permitted,2 YEARS - 5 YEARS,105,DC38947,PRESCHOOL,GDC,Child Care - Pre School,3329040,,6/2/2020,Y,50,21.905,15,11.9769,25,6.1285,50,18.9541,5,1,17
GOLDEN LEAF COMMUNITY DEVELOPMENT CENTER,Golden Leaf Community Development Center,120,EAST  169 STREET,BRONX,10452,"120 EAST  169 STREET,BRONX 10452",OK,120 EAST  169 STREET,BRONX,10452,204,BX1,40.836946,-73.917333,2024660019,347-432-6296,105186,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC39602,ALL AGE CAMP,Camp,Camp,2002859,,7/23/2020,Y,100,26.8868,0,1,50,14.2558,100,21.8553,7,3,68
"GOLDEN SUNRISE DAYCARE, LLC",Golden Sunrise Day LLC,916,58 STREET,BROOKLYN,11219,"916 58 STREET,BROOKLYN 11219",OK,916 58 STREET,BROOKLYN,11219,312,BK4,40.63497,-74.005631,3057010013,646-309-5727,104363,3/23/2024,Permitted,2 YEARS - 5 YEARS,45,DC36390,PRESCHOOL,GDC,Child Care - Pre School,3140567,,3/23/2018,Y,50,21.905,14,11.9769,0,6.1285,50,18.9541,5,1,17
GOOD SAMARITAN FULTON DAY CARE CENTER - INFANT/TODDLER,"GOOD SAMARITAN FULTON DAY CARE CENTER, INC.",992,GATES AVENUE,BROOKLYN,11221,"992 GATES AVENUE,BROOKLYN 11221",OK,992 GATES AVENUE,BROOKLYN,11221,303,BK1,40.6893,-73.923685,3014800002,718-443-6463,6199,6/26/2023,Permitted,0 YEARS - 2 YEARS,72,DC14162,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3039623,,6/26/2005,N,20,17.4391,9,8.4034,0,4.9984,20,15.3835,6,2,34
GOOD SAMARITAN FULTON DAY CARE CENTER-PRESCHOOL,"GOOD SAMARITAN FULTON DAY CARE CENTER, INC.",992,GATES AVENUE,BROOKLYN,11221,"992 GATES AVENUE,BROOKLYN 11221",OK,992 GATES AVENUE,BROOKLYN,11221,303,BK1,40.6893,-73.923685,3014800002,718-443-6463,6198,6/27/2024,Permitted,2 YEARS - 5 YEARS,23,DC10582,PRESCHOOL,GDC,Child Care - Pre School,3039623,,6/28/2004,N,25,21.905,2,11.9769,0,6.1285,25,18.9541,5,1,17
GOOD SHEPHERD CATHOLIC ACADEMY,BROOKLYN ARCHDIOCESE,1943,BROWN STREET,BROOKLYN,11229,"1943 BROWN STREET,BROOKLYN 11229",OK,1943 BROWN STREET,BROOKLYN,11229,315,BK5,40.60421,-73.940629,3073110001,718-339-2745,,1/23/2115,Active,3 YEARS - 5 YEARS,0,DC491,PRESCHOOL,SBCC,School Based Child Care,3345248,,,,100,45.1817,15,8.0094,100,23.3017,0,35.2291,8,4,136
GRACE CHURCH SCHOOL,"THE RECTOR, CHURCH WARDENS AND VESTRYMEN OF GRACE CHURCH",254,HICKS STREET,BROOKLYN,11201,"254 HICKS STREET,BROOKLYN 11201",OK,254 HICKS STREET,BROOKLYN,11201,302,BK2,40.693706,-73.996596,3002520028,718-624-4030,1839,10/13/2022,Expired-In Renewal,2 YEARS - 5 YEARS,124,DC1855,PRESCHOOL,GDC,Child Care - Pre School,3329460,gracechurchschool.org,9/1/2004,N,0,21.905,35,11.9769,0,6.1285,0,18.9541,5,1,17
GRACE CHURCH SCHOOL,GRACE CHURCH SCHOOL,86,FOURTH  AVENUE,MANHATTAN,10003,"86 FOURTH  AVENUE,MANHATTAN 10003",OK,86 FOURTH AVENUE,MANHATTAN,10003,102,MN1B,40.731674,-73.990305,1005570001,212-475-5609,,1/23/2115,Active,3 YEARS - 5 YEARS,89,DC1144,PRESCHOOL,SBCC,School Based Child Care,1008997,,,,0,45.1817,12,8.0094,0,23.3017,0,35.2291,8,4,136
GRACE DAY CARE CENTER,"GRACE DAY CARE CENTER, INC.",89-00,23 AVENUE,QUEENS,11369,"89-00 23 AVENUE,QUEENS 11369",OK,89-00 23 AVENUE,QUEENS,11369,403,QN2,40.76764,-73.880805,4010840001,718-803-0345,6230,9/30/2024,Permitted,2 YEARS - 5 YEARS,63,DC1533,PRESCHOOL,GDC,Child Care - Pre School,4023535,,9/30/2004,N,16.6667,21.905,7,11.9769,0,6.1285,16.6667,18.9541,5,1,17
GRACE LUTHERAN CHURCH,GRACE EVANGELICAL LUTHERAN CHURCH,31-20,21 AVENUE,QUEENS,11105,"31-20 21 AVENUE,QUEENS 11105",OK,31-20 21 AVENUE,QUEENS,11105,401,QN1,40.777496,-73.907827,4008310061,718-728-0093,3087,10/6/2024,Permitted,2 YEARS - 5 YEARS,73,DC3130,PRESCHOOL,GDC,Child Care - Pre School,4016954,www.gracearoundthecorner.org,10/19/1973,Y,25,21.905,9,11.9769,0,6.1285,25,18.9541,5,1,17
GRACE LUTHERAN CHURCH,GRACE EVANGELICAL LUTHERAN CHURCH OF LONG ISLAND CITY,31-20,21 AVENUE,QUEENS,11105,"31-20 21 AVENUE,QUEENS 11105",OK,31-20 21 AVENUE,QUEENS,11105,401,QN1,40.777496,-73.907827,4008310061,718-728-0093,34293,9/15/2023,Permitted,0 YEARS - 16 YEARS,75,DC23421,ALL AGE CAMP,Camp,Camp,4016954,www.gracearoundthecorner.org,7/1/2013,N,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,200-08,MURDOCK AVENUE,QUEENS,11412,"200-08 MURDOCK AVENUE,QUEENS 11412",OK,200-08 MURDOCK AVENUE,QUEENS,11412,412,QN4,40.700045,-73.754501,4110170001,718-465-5621,91498,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,40,DC33180,ALL AGE CAMP,Camp,Camp,4236681,,6/29/2015,N,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
"GRAND ST. SETTLEMENT, INC.","GRAND STREET SETTLEMENT, INC.",60,ESSEX STREET,MANHATTAN,10002,"60 ESSEX STREET,MANHATTAN 10002",OK,60 ESSEX STREET,MANHATTAN,10002,103,MN2,40.717011,-73.988987,1003510001,212-677-6990,27418,11/16/2024,Permitted,2 YEARS - 5 YEARS,57,DC24706,PRESCHOOL,GDC,Child Care - Pre School,1083429,www.grandsettlement.org.,11/16/2012,Y,16.6667,21.905,5,11.9769,0,6.1285,16.6667,18.9541,5,1,17
GRAND STREET SETT STANHOPE,"GRAND STREET SETTLEMENT, INC.",319,STANHOPE STREET,BROOKLYN,11237,"319 STANHOPE STREET,BROOKLYN 11237",OK,319 STANHOPE STREET,BROOKLYN,11237,304,BK1,40.70285,-73.918336,3032590023,718-381-8900,26567,10/25/2022,Expired-In Renewal,2 YEARS - 5 YEARS,74,DC24701,PRESCHOOL,GDC,Child Care - Pre School,3074237,www.grandsettlement.org,10/25/2012,Y,28.5714,21.905,11,11.9769,14.2857,6.1285,14.2857,18.9541,5,1,17
GRAND STREET SETTLEMENT INC,"GRAND STREET SETTLEMENT, INC.",850,50TH ST,BROOKLYN,11220,"850 50TH ST,BROOKLYN 11220",OK,850 50 STREET,BROOKLYN,11220,312,BK4,40.640435,-74.002598,3056440027,917-510-3799,105915,2/22/2025,Permitted,2 YEARS - 5 YEARS,46,DC40087,PRESCHOOL,GDC,Child Care - Pre School,3137829,www.grandsettlement.org,2/22/2023,Y,,,1,11.9769,,,,,5,1,17
"GRAND STREET SETTLEMENT, INC.","GRAND STREET SETTLEMENT, INC.",294,DELANCEY STREET,MANHATTAN,10002,"294 DELANCEY STREET,MANHATTAN 10002",OK,294 DELANCEY STREET,MANHATTAN,10002,103,MN2,40.715758,-73.979334,1003230001,212-777-0656,2129,11/1/2024,Permitted,2 YEARS - 5 YEARS,77,DC1249,PRESCHOOL,GDC,Child Care - Pre School,1078038,wwwgrandsettlement.org,10/30/2004,N,50,21.905,7,11.9769,33.3333,6.1285,50,18.9541,5,1,17
"GRAND STREET SETTLEMENT, INC.","GRAND STREET SETTLEMENT, INC.",300,DELANCEY STREET,MANHATTAN,10002,"300 DELANCEY STREET,MANHATTAN 10002",OK,300 DELANCEY STREET,MANHATTAN,10002,103,MN2,40.715709,-73.979168,1003230001,212-228-8240,5569,7/2/2023,Permitted,2 YEARS - 5 YEARS,87,DC1275,PRESCHOOL,GDC,Child Care - Pre School,1078037,,1/3/2003,N,20,21.905,11,11.9769,0,6.1285,20,18.9541,5,1,17
"Grand Street Settlement, Inc.","Grand Street Settlement, Inc.",1825,Atlantic Ave,BROOKLYN,11233,"1825 Atlantic Ave,BROOKLYN 11233",OK,1825 ATLANTIC AVENUE,BROOKLYN,11233,303,BK1,40.677155,-73.925639,3017107501,929-297-6637,105492,8/31/2023,Permitted,2 YEARS - 5 YEARS,79,DC40286,PRESCHOOL,GDC,Child Care - Pre School,3397596,www.grandsettlement.org,8/31/2021,Y,50,21.905,4,11.9769,50,6.1285,0,18.9541,5,1,17
"GRAND STREET SETTLEMENT, INC.","GRAND STREET SETTLEMENT, INC.",856,50TH ST,BROOKLYN,11220,"856 50TH ST,BROOKLYN 11220",OK,856 50 STREET,BROOKLYN,11220,312,BK4,40.640377,-74.002504,3056440029,917-510-3799,105907,2/10/2025,Permitted,2 YEARS - 5 YEARS,40,DC40485,PRESCHOOL,GDC,Child Care - Pre School,3137830,www.grandsettlement.org,2/10/2023,Y,,,2,11.9769,,,,,5,1,17
"GRAND STREET SETTLEMENT,INC.","GRAND STREET SETTLEMENT,INC.",928,55TH ST,BROOKLYN,11219,"928 55TH ST,BROOKLYN 11219",OK,928 55 STREET,BROOKLYN,11219,312,BK4,40.636458,-74.003567,3056807501,347-325-9055,105194,7/28/2024,Permitted,2 YEARS - 5 YEARS,103,DC38821,PRESCHOOL,GDC,Child Care - Pre School,3421364,www.grandsettlement.org,7/28/2020,Y,0,21.905,18,11.9769,0,6.1285,0,18.9541,5,1,17
Greater Flushing Community Council Inc,Greater Flushing Community Council Inc,47-49,162 STREET,QUEENS,11358,"47-49 162 STREET,QUEENS 11358",OK,47-49 162 STREET,QUEENS,11358,407,QN3,40.750816,-73.805276,4054920008,718-939-6060,104184,7/28/2023,Permitted,2 YEARS - 5 YEARS,35,DC35516,PRESCHOOL,GDC,Child Care - Pre School,4124143,,7/28/2017,Y,16.6667,21.905,6,11.9769,0,6.1285,16.6667,18.9541,5,1,17
"GREATER RIDGEWOOD YOUTH COUNCIL, INC.","GREATER RIDGEWOOD YOUTH COUNCIL, INC.",776,FAIRVIEW AVE.,QUEENS,11385,"776 FAIRVIEW AVE.,QUEENS 11385",OK,776 FAIRVIEW AVENUE,QUEENS,11385,405,QN2,40.704976,-73.902925,4034810039,718-456-5437,103825,10/4/2024,Permitted,2 YEARS - 5 YEARS,61,DC33248,PRESCHOOL,GDC,Child Care - Pre School,4083318,thegryc.org,10/4/2016,Y,0,21.905,8,11.9769,0,6.1285,0,18.9541,5,1,17
"GREEN IVY BATTERY PARK, LLC","GREEN IVY BATTERY PARK, LLC",21,SOUTH END AVENUE,MANHATTAN,10280,"21 SOUTH END AVENUE,MANHATTAN 10280",OK,21 SOUTH END AVENUE,MANHATTAN,10280,101,MN1A,40.708142,-74.017616,1000167509,212-235-2320,56257,1/24/2024,Permitted,2 YEARS - 5 YEARS,60,DC25250,PRESCHOOL,GDC,Child Care - Pre School,1075698,www.batteryparkmontessori.com,1/24/2014,Y,25,21.905,12,11.9769,0,6.1285,25,18.9541,5,1,17
"GREEN IVY HOLDINGS, LLC","GREEN IVY HOLDINGS, LLC'",40,WALL STREET,MANHATTAN,10005,"40 WALL STREET,MANHATTAN 10005",OK,40 WALL STREET,MANHATTAN,10005,101,MN1A,40.706784,-74.010132,1000430002,212-627-0129,72866,10/1/2024,Permitted,2 YEARS - 5 YEARS,35,DC25249,PRESCHOOL,GDC,Child Care - Pre School,1001018,www.pinestreetschool.com,10/1/2014,Y,0,21.905,11,11.9769,0,6.1285,0,18.9541,5,1,17
GREEN IVY PINE STREET SCHOOL,PINE STREET SCHOOL,25,PINE STREET,MANHATTAN,10005,"25 PINE STREET,MANHATTAN 10005",OK,25 PINE STREET,MANHATTAN,10005,101,MN1A,40.707328,-74.009634,1000430002,347-963-6757,,2/23/2116,Active,3 YEARS - 5 YEARS,0,DC35406,PRESCHOOL,SBCC,School Based Child Care,1001018,www.pinestreetschool.com,,,0,45.1817,1,8.0094,0,23.3017,0,35.2291,8,4,136
GREENPOINT YMCA,YMCA of Greater NY,12,NEWEL ST,BROOKLYN,11222,"12 NEWEL ST,BROOKLYN 11222",OK,12 NEWEL STREET,BROOKLYN,11222,301,BK1,40.723378,-73.946555,3026840042,212-912-2260,105713,9/15/2022,Expired-In Renewal,6 YEARS - 16 YEARS,0,DC41145,SCHOOL AGE CAMP,Camp,Camp,3066952,,7/1/2022,Y,0,26.8868,0,1,0,14.2558,0,21.8553,9,3,260
GREENPOINT YMCA,YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,99,MESEROLE AVENUE,BROOKLYN,11222,"99 MESEROLE AVENUE,BROOKLYN 11222",OK,99 MESEROLE AVENUE,BROOKLYN,11222,301,BK1,40.726911,-73.953285,3025960001,212-912-2272,105342,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC40206,ALL AGE CAMP,Camp,Camp,3065312,,5/17/2021,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GROWING ROOTS GARDEN CAMP,SECOND NATURE OUTDOORS LLC,3041,KINGSBRIDGE AVENUE,BRONX,10463,"3041 KINGSBRIDGE AVENUE,BRONX 10463",OK,3041 KINGSBRIDGE AVENUE,BRONX,10463,208,BX1,40.878954,-73.907401,2057090046,443-761-9538,104921,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC38345,ALL AGE CAMP,Camp,Camp,2083194,bit.ly/secondnatureoutdoors,7/2/2019,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GRYC COMPASS/SONIC  P.S./IS 128 SUMMER CAMP,The Greater Ridgewood Youth Council Inc.,63-25,69 Street,QUEENS,11379,"63-25 69 Street,QUEENS 11379",OK,63-25 69 STREET,QUEENS,11379,405,QN2,40.715029,-73.88728,4030250038,718-456-5437,104835,9/15/2020,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC38261,ALL AGE CAMP,Camp,Camp,4070411,,5/28/2019,Y,,,0,1,,,,,7,3,68
"GSUC CHILD DEVELOPMENT AND LEARNING CENTER, INC.","GSUC CHILD DEVELOPMENT AND LEARNING CENTER, INC.",365,FIFTH AVENUE,MANHATTAN,10016,"365 FIFTH AVENUE,MANHATTAN 10016",OK,365 FIFTH AVENUE,MANHATTAN,10016,105,MN3,40.748822,-73.984268,1008647502,212-817-7032,6917,4/29/2023,Permitted,2 YEARS - 5 YEARS,27,DC3074,PRESCHOOL,GDC,Child Care - Pre School,1017097,,4/29/2005,N,0,21.905,6,11.9769,0,6.1285,0,18.9541,5,1,17
GUARDIAN ANGEL SCHOOL,CATHOLIC SCHOOL REGION OF MANHATTAN-GUARDIAN ANGEL SCHOOL,193,10TH AVENUE,MANHATTAN,10011,"193 10TH AVENUE,MANHATTAN 10011",OK,193 10 AVENUE,MANHATTAN,10011,104,MN5,40.746718,-74.00489,1006930034,212-989-8280,,11/23/2115,Active,3 YEARS - 5 YEARS,0,DC19551,PRESCHOOL,SBCC,School Based Child Care,1012312,www.archny.org/education,,,0,45.1817,0,8.0094,0,23.3017,0,35.2291,8,4,136
GUIDEPOST FIC B LLC.,GUIDEPOST FIC B LLC.,190,S 1ST ST,BROOKLYN,11211,"190 S 1ST ST,BROOKLYN 11211",OK,190 SOUTH    1 STREET,BROOKLYN,11211,301,BK1,40.713148,-73.95965,3024077503,347-464-0490,104749,3/25/2025,Permitted,0 YEARS - 2 YEARS,34,DC37653,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3426659,,3/25/2019,Y,0,17.4391,10,8.4034,0,4.9984,0,15.3835,6,2,34
GUIDEPOST MONTESSORI,"GUIDEPOST FIC B, LLC.",190,S 1ST ST,BROOKLYN,11211,"190 S 1ST ST,BROOKLYN 11211",OK,190 SOUTH    1 STREET,BROOKLYN,11211,301,BK1,40.713148,-73.95965,3024077503,347-464-0490,104748,3/25/2025,Permitted,2 YEARS - 5 YEARS,97,DC37654,PRESCHOOL,GDC,Child Care - Pre School,3426659,,3/25/2019,Y,16.6667,21.905,12,11.9769,16.6667,6.1285,16.6667,18.9541,5,1,17
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,HGE FIC F LLC,775,COLUMBUS AVE,MANHATTAN,10025,"775 COLUMBUS AVE,MANHATTAN 10025",OK,775 COLUMBUS AVENUE,MANHATTAN,10025,107,MN5,40.794049,-73.966644,1018337505,551-333-1337,105788,8/16/2024,Permitted,0 YEARS - 2 YEARS,18,DC37574,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1088481,https://polis.school,8/16/2022,Y,50,17.4391,7,8.4034,0,4.9984,50,15.3835,6,2,34
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,HGE FIC F LLC,775,COLUMBUS AVENUE,MANHATTAN,10025,"775 COLUMBUS AVENUE,MANHATTAN 10025",OK,775 COLUMBUS AVENUE,MANHATTAN,10025,107,MN5,40.794049,-73.966644,1018337505,551-333-1337,104727,2/5/2023,Expired-In Renewal,2 YEARS - 5 YEARS,135,DC37573,PRESCHOOL,GDC,Child Care - Pre School,1088481,https://polis.school,2/5/2019,Y,50,21.905,13,11.9769,25,6.1285,50,18.9541,5,1,17
GWENDOLYN B. BLAND DAY CARE CENTER,"SOUTHEAST BRONX NEIGHBORHOOD CENTERS, INC.",749,EAST 163RD STREET,BRONX,10456,"749 EAST 163RD STREET,BRONX 10456",OK,749 EAST  163 STREET,BRONX,10456,203,BX1,40.822957,-73.904108,2026390001,718-991-1050,3095,3/18/2025,Permitted,2 YEARS - 5 YEARS,100,DC2001,PRESCHOOL,GDC,Child Care - Pre School,2091965,sebnc.org,3/16/2005,N,20,21.905,9,11.9769,0,6.1285,20,18.9541,5,1,17
GYMBOREE PLAY & MUSIC,MANHATTAN PLAY INC,120,RIVERSIDE BLVD,MANHATTAN,10069,"120 RIVERSIDE BLVD,MANHATTAN 10069",OK,120 RIVERSIDE BOULEVARD,MANHATTAN,10069,107,MN5,40.776668,-73.989233,1011717504,212-867-0250,105366,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,30,DC40373,ALL AGE CAMP,Camp,Camp,1086247,gymboreeclasses.com,6/4/2021,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GYMBOREE PLAY & MUSIC OF MANHATTAN,"Manhattan Play, Inc",235,EAST   38 STREET,MANHATTAN,10016,"235 EAST   38 STREET,MANHATTAN 10016",OK,235 EAST   38 STREET,MANHATTAN,10016,106,MN2,40.74772,-73.975018,1009190014,212-867-0250,103726,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,50,DC34448,ALL AGE CAMP,Camp,Camp,1087340,gymboreeclasses.com,7/19/2016,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GYMBOREE PLAY & MUSIC UES,"East Side Play, Inc",1622,1 AVENUE,MANHATTAN,10028,"1622 1 AVENUE,MANHATTAN 10028",OK,1622 1 AVENUE,MANHATTAN,10028,108,MN6,40.775752,-73.950185,1015647502,212-452-9814,103674,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,60,DC34447,ALL AGE CAMP,Camp,Camp,1073786,gymboreeclasses.com,7/7/2016,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
GYMTIME GYMNASTICS SUMMER CAMP,"GYMTIME/RHYTHM AND GLUES, INC.",1520,YORK AVENUE,MANHATTAN,10028,"1520 YORK AVENUE,MANHATTAN 10028",OK,1520 YORK AVENUE,MANHATTAN,10028,108,MN6,40.772362,-73.949715,1015770001,212-861-7732,49037,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,50,DC25402,ALL AGE CAMP,Camp,Camp,1050869,www.gymtime.net,7/29/2013,N,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
HABITOT,HABITOT ES  LLC,3480,THIRD AVENUE,BRONX,10456,"3480 THIRD AVENUE,BRONX 10456",OK,3480 THIRD AVENUE,BRONX,10456,203,BX1,40.830169,-73.906233,2026097501,718-484-8777,8390,10/11/2023,Permitted,2 YEARS - 5 YEARS,83,DC21623,PRESCHOOL,GDC,Child Care - Pre School,2118328,www.readysetlearn.nyc,10/11/2011,Y,,,9,11.9769,,,,,5,1,17
HABITOT,HABITOT E S  L L C,3480,THIRD AVENUE,BRONX,10456,"3480 THIRD AVENUE,BRONX 10456",OK,3480 THIRD AVENUE,BRONX,10456,203,BX1,40.830169,-73.906233,2026097501,718-484-8777,8389,10/11/2023,Permitted,0 YEARS - 2 YEARS,39,DC21622,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,2118328,www.readysetlearn.nyc,10/11/2011,Y,,,4,8.4034,,,,,6,2,34
"HAMILTON - MADISON HOUSE, INC.","HAMILTON - MADISON HOUSE, INC.",253,SOUTH STREET,MANHATTAN,10002,"253 SOUTH STREET,MANHATTAN 10002",OK,253 SOUTH STREET,MANHATTAN,10002,103,MN2,40.710001,-73.990553,1002480015,212-406-7570,7404,7/12/2023,Permitted,2 YEARS - 5 YEARS,52,DC14416,PRESCHOOL,GDC,Child Care - Pre School,1085945,www.hmhonline.org,7/12/2005,Y,0,21.905,7,11.9769,0,6.1285,0,18.9541,5,1,17
"HAMILTON MADISON HOUSE, INC.","HAMILTON MADISON HOUSE, INC.",60,CATHERINE STREET,MANHATTAN,10038,"60 CATHERINE STREET,MANHATTAN 10038",OK,60 CATHERINE STREET,MANHATTAN,10038,103,MN2,40.711566,-73.99684,1001110100,212-962-3408,1709,4/4/2025,Permitted,2 YEARS - 5 YEARS,60,DC1280,PRESCHOOL,GDC,Child Care - Pre School,1077421,hmhonline.com,12/23/2002,N,0,21.905,6,11.9769,0,6.1285,0,18.9541,5,1,17
"HAMILTON MADISON HOUSE, INC.","HAMILTON MADISON HOUSE, INC.",77,MARKET STREET,MANHATTAN,10002,"77 MARKET STREET,MANHATTAN 10002",OK,77 MARKET STREET,MANHATTAN,10002,103,MN2,40.710781,-73.994178,1002530001,646-707-0321,6900,6/24/2023,Permitted,2 YEARS - 5 YEARS,38,DC2839,PRESCHOOL,GDC,Child Care - Pre School,1077591,hmhonline.org,6/24/2005,N,0,21.905,2,11.9769,0,6.1285,0,18.9541,5,1,17
Hands That Make A Difference,Hands That Make A Difference Inc.,127,WEST  127 STREET,MANHATTAN,10027,"127 WEST  127 STREET,MANHATTAN 10027",OK,127 WEST  127 STREET,MANHATTAN,10027,110,MN7,40.809488,-73.945496,1019120012,646-928-0123,105330,9/15/2023,Permitted,0 YEARS - 16 YEARS,20,DC40238,ALL AGE CAMP,Camp,Camp,1057904,,5/10/2021,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
"HANSON PLACE CHILD DEVELOPMENT CENTER, INC","HANSON PLACE CHILD DEVELOPMENT CENTER,INC.",55,HANSON PLACE,BROOKLYN,11217,"55 HANSON PLACE,BROOKLYN 11217",OK,55 HANSON PLACE,BROOKLYN,11217,302,BK2,40.685378,-73.975554,3021130001,718-237-4303,5770,3/31/2023,Expired-In Renewal,2 YEARS - 5 YEARS,62,DC14645,PRESCHOOL,GDC,Child Care - Pre School,3059236,hansonplaceinc.com,3/31/2005,N,0,21.905,11,11.9769,0,6.1285,0,18.9541,5,1,17
"HANSON PLACE CHILD DEVELOPMENT CENTER, INC","HANSON PLACE CHILD DEVELOPMENT CENTER, INC.",55,HANSON PLACE,BROOKLYN,11217,"55 HANSON PLACE,BROOKLYN 11217",OK,55 HANSON PLACE,BROOKLYN,11217,302,BK2,40.685378,-73.975554,3021130001,718-237-4303,5769,12/7/2023,Permitted,0 YEARS - 2 YEARS,18,DC2006,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3059236,hansonplaceinc.com,11/26/2004,N,50,17.4391,8,8.4034,0,4.9984,50,15.3835,6,2,34
